node-name	en	de
abbr	Abbreviation	Abkürzung
abstract	Abstract	Zusammenfassung
accessrestrict	Conditions Governing Access	Benutzungsbeschränkungen
accruals	Accruals	Zugänge
acqinfo	Acquisition Information	Beschreibung der Zugänge
address	Address	Adresse
addressline	Address Line	Adresszeile
altformavail	Alternative Form Available	Konversionsformen
appraisal	Appraisal Information	Bewertung
arc	Arc	Bogen
archdesc	Archival Description	Archivische Erschließung
archdescgrp	Archival Description Group	Gruppierung archivischer Erschließung
archref	Archival Reference	Archivischer Nachweis
arrangement	Arrangement	Ordnung
author	Author	Bearbeiter
bibliography	Bibliography	Veröffentlichungen
bibref	Bibliographic Reference	Bibliographischer Nachweis
bibseries	Bibliographic Series	Bibliographische Reihe
bioghist	Biography or History	Entstehungsgeschichte
blockquote	Block Quote	Blockzitat
c	Component (Unnumbered)	Komponente – Unnummeriert
c01	Component (First Level)	Komponente – Oberste Ebene
c02	Component (Second Level)	Komponente – Zweite Ebene
c03	Component (Third Level)	Komponente – Dritte Ebene
c04	Component (Fourth Level)	Komponente – Vierte Ebene
c05	Component (Fifth Level)	Komponente – Fünfte Ebene
c06	Component (Sixth Level)	Komponente – Sechste Ebene
c07	Component (Seventh Level)	Komponente – Siebente Ebene
c08	Component (Eighth Level)	Komponente – Achte Ebene
c09	Component (Ninth Level)	Komponente – Neunte Ebene
c10	Component (Tenth Level)	Komponente – Zehnte Ebene
c11	Component (Eleventh Level)	Komponente – Elfte Ebene
c12	Component (Twelfth Level)	Komponente – Zwölfte Ebene
change	Change	Änderung
chronitem	Chronology List Item	Chronologischer Listeneintrag
chronlist	Chronology List	Chronologische Liste
colspec	Table Column Specification	Spalteneigenschaften
container	Container	Behälter
controlaccess	Controlled Access Headings	Begriffe aus Normansetzungen
corpname	Corporate Name	Körperschaftsname
creation	Creation	Herstellung
custodhist	Custodial History	Bestandsgeschichte
dao	Digital Archival Object	Digitales Archivobjekt
daodesc	Digital Archival Object Description	Beschreibung digitaler Archivobjekte
daogrp	Digital Archival Object Group	Gruppe digitaler Archivobjekte
daoloc	Digital Archival Object Location	Ort des digitalen Archivobjekts
date	Date	Datum
defitem	Definition List Item	Definitionslisteneintrag
descgrp	Description Group	Gruppierung der Erschließung
descrules	Descriptive Rules	Erschließungsregeln
did	Descriptive Identification	Erschließungsangaben
dimensions	Dimensions	Maße
div	Text Division	Textteil
dsc	Description of Subordinate Components	Erschließung untergeordneter Komponenten
dscgrp	Description of Subordinate Components Group	Gruppierung der Erschließung untergeordneter Komponenten
ead	Encoded Archival Description	Kodierte Archivische Erschließung
eadgrp	EAD Group	EAD-Gruppe
eadheader	EAD Header	EAD-Kopf
eadid	EAD Identifier	EAD-Identifikator
edition	Edition	Auflage
editionstmt	Edition Statement	Bemerkung zur Auflage
emph	Emphasis	Hervorhebung
entry	Table Entry	Tabelleneintrag
event	Event	Ereignis
eventgrp	Event Group	Gruppierung von Ereignissen
expan	Expansion	Langform
extent	Extent	Umfang
extptr	Extended Pointer	Externer Zeiger
extptrloc	Extended Pointer Location	Ort des Externen Zeiges
extref	Extended Reference	Externer Verweis
extrefloc	Extended Reference Location	Ort des Externen Verweises
famname	Family Name	Familienname
filedesc	File Description	Dateibeschreibung
fileplan	File Plan	Aktenplan
frontmatter	Front Matter	Vorspann
function	Function	Funktion
genreform	Genre/Physical Characteristic	Genre oder Form
geogname	Geographic Name	Geographische Bezeichnung
head	Heading	Kopfelement/Überschrift
head01	First Heading	Kopfzeile Eins
head02	Second Heading	Kopfzeile Zwei
imprint	Imprint	Impressum
index	Index	Index
indexentry	Index Entry	Indexeintrag
item	Item	Eintrag
label	Label	Beschriftung
langmaterial	Language of the Material	Sprache des Materials
language	Language	Sprache
